水位(m),库容(百万m3),E,水位(m)    ,流量 (m3/s)
120,1760,0,88.8,100
121,1950,16412.675,89.06,200
122,2150,34234.175,89.3,300
123,2350,52600.675,89.5,400
124,2550,71512.175,89.68,500
125,2780,93887.15,89.85,600
126,3020,117888.95,89.99,700
127,3280,144599.4,90.11,800
129,3840,204418.6,90.21,900
130,4120,235472.7,90.3,1000
131,4410,268426.125,90.39,1100
132,4700,302169.8,90.47,1200
133,5000,337894.55,90.56,1300
134,5330,378091.025,90.64,1400
135,5670,420432.075,90.73,1500
136,6060,470062.5,90.82,1600
137,6450,520755.675,90.9,1700
138,6840,572511.6,90.99,1800
139,7230,625330.275,91.07,1900
140,7650,683356.425,91.16,2000
141,8100,746753.55,91.22,2100
142,8550,811376.925,91.28,2200
143,9000,877226.55,91.34,2300
144,9500,951755.3,91.4,2400
145,10000,1027646.55,91.46,2500
146,10500,1104900.3,91.51,2600
147,11020,1186661.2,91.57,2700
148,11540,1269839.1,91.63,2800
149,12100,1360941.3,91.69,2900
150,12690,1458531.725,91.75,3000
151,13320,1564455.2,91.8,3100
152,13980,1677221.15,91.84,3200
153,14660,1795257.25,91.89,3300
154,15350,1916909.425,91.93,3400
155,16050,2042232.175,91.98,3500
156,16750,2169462.425,92.02,3600
157,17450,2298600.175,92.07,3700
158,18220,2442749.95,92.12,3800
159,19000,2590897.3,92.16,3900
160,19820,2748876.45,92.21,4000
161,20640,2909090.1,92.25,4100
162,21460,3071538.25,92.29,4200
163,22350,3250279.175,92.33,4300
164,23250,3433480.925,92.37,4400
165,24160,3621198,92.42,4500
166,25100,3817665.05,92.46,4600
167,26050,4018810.925,92.5,4700
168,27000,4222545.55,92.54,4800
169,28000,4439728.05,92.58,4900
170,29050,4670630.925,92.62,5000
171,30140,4913300.35,92.66,5100
172,31250,5163447.175,92.7,5200
173,32360,5416618.75,92.73,5300
174,33500,5679739.3,92.77,5400
175,34670,5952972.325,92.81,5500
176,35840,6229393.6,92.85,5600
177,37010,6509003.125,92.89,5700
178,38250,6808720.425,92.92,5800
179,39500,7114261.05,92.96,5900
,,,93,6000
,,,93.04,6100
,,,93.08,6200
,,,93.11,6300
,,,93.15,6400
,,,93.19,6500
,,,93.23,6600
,,,93.27,6700
,,,93.3,6800
,,,93.34,6900
,,,93.38,7000
,,,93.42,7100
,,,93.45,7200
,,,93.49,7300
,,,93.53,7400
,,,93.57,7500
,,,93.6,7600
,,,93.64,7700
,,,93.68,7800
,,,93.71,7900
,,,93.75,8000
,,,93.79,8100
,,,93.82,8200
,,,93.86,8300
,,,93.89,8400
,,,93.93,8500
,,,93.96,8600
,,,94,8700
,,,94.03,8800
,,,94.07,8900
,,,94.1,9000
,,,94.13,9100
,,,94.16,9200
,,,94.19,9300
,,,94.22,9400
,,,94.25,9500
,,,94.28,9600
,,,94.31,9700
,,,94.34,9800
,,,94.37,9900
,,,94.4,10000
,,,94.43,10100
,,,94.46,10200
,,,94.49,10300
,,,94.52,10400
,,,94.55,10500
,,,94.58,10600
,,,94.61,10700
,,,94.64,10800
,,,94.67,10900
,,,94.7,11000
,,,94.73,11100
,,,94.76,11200
,,,94.79,11300
,,,94.82,11400
,,,94.85,11500
,,,94.88,11600
,,,94.91,11700
,,,94.94,11800
,,,94.97,11900
,,,95,12000
,,,95.03,12100
,,,95.05,12200
,,,95.08,12300
,,,95.11,12400
,,,95.14,12500
,,,95.16,12600
,,,95.19,12700
,,,95.22,12800
,,,95.24,12900
,,,95.27,13000
,,,95.3,13100
,,,95.32,13200
,,,95.35,13300
,,,95.38,13400
,,,95.41,13500
,,,95.43,13600
,,,95.46,13700
,,,95.49,13800
,,,95.51,13900
,,,95.54,14000
,,,95.57,14100
,,,95.59,14200
,,,95.62,14300
,,,95.64,14400
,,,95.67,14500
,,,95.7,14600
,,,95.72,14700
,,,95.75,14800
,,,95.77,14900
,,,95.8,15000
,,,95.83,15100
,,,95.85,15200
,,,95.88,15300
,,,95.9,15400
,,,95.93,15500
,,,95.95,15600
,,,95.98,15700
,,,96,15800
,,,96.03,15900
,,,96.05,16000
,,,96.08,16100
,,,96.1,16200
,,,96.13,16300
,,,96.15,16400
,,,96.18,16500
,,,96.2,16600
,,,96.23,16700
,,,96.25,16800
,,,96.28,16900
,,,96.3,17000
,,,96.33,17100
,,,96.35,17200
,,,96.38,17300
,,,96.4,17400
,,,96.43,17500
,,,96.45,17600
,,,96.48,17700
,,,96.5,17800
,,,96.53,17900
,,,96.55,18000
,,,96.58,18100
,,,96.6,18200
,,,96.63,18300
,,,96.65,18400
,,,96.68,18500
,,,96.7,18600
,,,96.73,18700
,,,96.75,18800
,,,96.78,18900
,,,96.8,19000
,,,96.83,19100
,,,96.85,19200
,,,96.88,19300
,,,96.9,19400
,,,96.93,19500
,,,96.95,19600
,,,96.98,19700
,,,97,19800
,,,97.03,19900
,,,97.05,20000
,,,97.07,20100
,,,97.09,20200
,,,97.11,20300
,,,97.13,20400
,,,97.15,20500
,,,97.17,20600
,,,97.19,20700
,,,97.21,20800
,,,97.23,20900
,,,97.25,21000
,,,97.27,21100
,,,97.29,21200
,,,97.31,21300
,,,97.33,21400
,,,97.36,21500
,,,97.39,21600
,,,97.42,21700
,,,97.45,21800
,,,97.48,21900
,,,97.5,22000
,,,97.52,22100
,,,97.54,22200
,,,97.56,22300
,,,97.58,22400
,,,97.6,22500
,,,97.62,22600
,,,97.64,22700
,,,97.66,22800
,,,97.68,22900
,,,97.7,23000
,,,97.72,23100
,,,97.74,23200
,,,97.76,23300
,,,97.78,23400
,,,97.8,23500
,,,97.82,23600
,,,97.84,23700
,,,97.86,23800
,,,97.88,23900
,,,97.9,24000
,,,97.92,24100
,,,97.94,24200
,,,97.96,24300
,,,97.98,24400
,,,98,24500
,,,98.02,24600
,,,98.04,24700
,,,98.06,24800
,,,98.08,24900
,,,98.1,25000
,,,98.12,25100
,,,98.14,25200
,,,98.16,25300
,,,98.18,25400
,,,98.2,25500
,,,98.22,25600
,,,98.24,25700
,,,98.26,25800
,,,98.28,25900
