水位(m),库容(百万m3),E,水位(m)    ,流量 (m3/s)
120,1760,0,88.8,100
121,1950,16412.675,89.06,200
122,2150,34234.175,89.3,300
123,2350,52600.675,89.5,400
124,2550,71512.175,89.68,500
125,2780,93887.15,89.85,600
126,3020,117888.95,89.99,700
127,3280,144599.4,90.11,800
129,3840,204418.6,90.21,900
130,4120,235472.7,90.3,1000
131,4410,268426.125,90.39,1100
132,4700,302169.8,90.47,1200
133,5000,337894.55,90.56,1300
134,5330,378091.025,90.64,1400
135,5670,420432.075,90.73,1500
136,6060,470062.5,90.82,1600
137,6450,520755.675,90.9,1700
138,6840,572511.6,90.99,1800
139,7230,625330.275,91.07,1900
140,7650,683356.425,91.16,2000
141,8100,746753.55,91.22,2100
142,8550,811376.925,91.28,2200
143,9000,877226.55,91.34,2300
144,9500,951755.3,91.4,2400
145,10000,1027646.55,91.46,2500
146,10500,1104900.3,91.51,2600
147,11020,1186661.2,91.57,2700
148,11540,1269839.1,91.63,2800
149,12100,1360941.3,91.69,2900
150,12690,1458531.725,91.75,3000
151,13320,1564455.2,91.8,3100
152,13980,1677221.15,91.84,3200
153,14660,1795257.25,91.89,3300
154,15350,1916909.425,91.93,3400
155,16050,2042232.175,91.98,3500
156,16750,2169462.425,92.02,3600
157,17450,2298600.175,92.07,3700
158,18220,2442749.95,92.12,3800
159,19000,2590897.3,92.16,3900
160,19820,2748876.45,92.21,4000
161,20640,2909090.1,92.25,4100
162,21460,3071538.25,92.29,4200
163,22350,3250279.175,92.33,4300
164,23250,3433480.925,92.37,4400
165,24160,3621198,92.42,4500
166,25100,3817665.05,92.46,4600
167,26050,4018810.925,92.5,4700
168,27000,4222545.55,92.54,4800
169,28000,4439728.05,92.58,4900
170,29050,4670630.925,92.62,5000
171,30140,4913300.35,92.66,5100
172,31250,5163447.175,92.7,5200
173,32360,5416618.75,92.73,5300
174,33500,5679739.3,92.77,5400
175,34670,5952972.325,92.81,5500
176,35840,6229393.6,92.85,5600
177,37010,6509003.125,92.89,5700
178,38250,6808720.425,92.92,5800
179,39500,7114261.05,92.96,5900
