年份,1月份,2月份,3月份,4月份,5月份,6月份,7月份,8月份,9月份,10月份,11月份,12月份
第1年,500,500,500,500,500,500,500,500,500,500,500,500
第2年,4480,4190,3300,328,183,243,149,172,218,188,863,535
第3年,673,1270,1410,428,238,191,181,178,250,875,966,924
第4年,1630,1350,823,1640,442,305,262,253,442,966,1180,879
第5年,3160,1750,3810,2770,602,430,357,294,355,761,725,553
第6年,7040,2460,2430,897,708,625,298,260,288,749,1520,692
第7年,1260,1510,1950,356,229,199,176,174,209,385,475,1530
第8年,3380,5140,6250,2820,1230,548,391,345,833,1040,674,6090
第9年,4340,950,8800,5300,849,506,412,383,513,903,472,543
第10年,2280,1170,941,674,677,342,265,276,479,638,859,293
第11年,1620,4590,3340,1620,930,380,290,234,312,418,600,178
第12年,497,685,1060,487,308,270,219,165,401,564,490,800
第13年,513,998,883,1010,438,209,202,242,593,944,1760,1410
第14年,898,2220,2540,1480,955,376,286,358,312,623,578,926
第15年,1640,1330,2510,2130,1160,620,299,246,783,1390,443,1160
第16年,3490,4030,2810,2320,929,720,317,279,558,561,1570,1440
第17年,3890,1480,4090,1520,1150,532,370,355,392,427,1180,959
第18年,1900,1660,1660,1830,602,354,321,347,789,1590,1260,1460
第19年,797,1890,3000,4800,839,480,306,323,442,597,794,392
第20年,2200,1390,8310,2580,789,422,315,306,400,870,611,1080
第21年,2930,1100,896,3290,1010,399,297,305,360,694,1410,588
第22年,1930,2180,3030,1530,9587,421,254,260,357,914,2770,585
第23年,3150,4700,5050,1470,1260,841,364,418,487,507,412,665
第24年,2660,2870,510,384,521,359,294,345,691,987,1390,733
第25年,3450,5660,2250,2340,674,690,393,469,691,663,499,247
第26年,2890,2650,4560,2310,559,362,283,257,368,1420,900,3760
第27年,2970,4650,2220,579,403,307,275,273,420,636,1660,1128
第28年,3770,557,440,257,347,317,180,139,162,835,1440,899
第29年,7330,4580,1270,1860,1390,545,357,454,1080,1370,1250,1030
第30年,918,757,661,375,570,390,221,187,510,913,515,540
第31年,1660,1080,4860,1200,779,394,269,229,673,816,958,1770
第32年,2920,1110,482,3140,1600,585,351,297,247,459,644,451
第33年,1350,2140,912,1700,943,551,284,207,333,1340,4410,1710
第34年,1400,2910,4620,1710,817,464,360,287,728,2600,3200,1190
第35年,3000,1450,9010,5760,1480,650,445,352,333,1570,1370,380
第36年,3940,1830,2790,1410,647,352,254,280,408,491,1030,571
第37年,797,713,1050,617,379,214,157,213,992,1920,2020,1160
第38年,4470,946,1050,1530,1360,705,323,250,787,1450,1820,358
第39年,1790,1820,5030,2330,963,579,364,408,392,1900,1050,284
第40年,784,362,2490,1260,757,365,254,219,403,1320,1170,1730
第41年,1000,970,2590,2110,636,421,281,244,390,1040,1240,2650
第42年,1290,1330,1440,2220,1760,454,353,296,819,1070,1040,917
第43年,2670,361,1650,575,643,269,222,232,292,1120,1500,1360
第44年,1810,1330,2690,2300,544,262,277,285,453,659,2080,538
第45年,1290,2080,3750,3570,727,492,303,311,312,790,1170,1120
第46年,2600,1930,3230,4980,939,442,433,514,550,660,1100,1420
第47年,956,1590,1170,1230,672,377,291,234,414,1080,1252,670
第48年,2280,1360,507,330,740,409,256,205,264,447,621,879
第49年,3370,817,795,376,372,218,159,194,320,484,977,673
第50年,2750,1470,3830,673,327,300,327,393,476,697,1000,2950
第51年,2661,3340,2540,2020,735,430,351,319,524,1300,436,928
第52年,3020,4330,4340,1600,754,487,338,371,568,942,944,382
第53年,4330,3120,3340,1760,914,551,391,292,462,1010,1530,2060
第54年,4110,5440,4520,6730,1310,647,441,420,377,545,890,1720
第55年,4270,1450,7300,2770,1020,637,467,428,466,906,2450,1150
第56年,1380,871,3340,1810,851,453,369,305,479,566,921,1470
第57年,1360,692,1440,741,478,314,275,243,264,754,1239,2368
第58年,3264,2534,1576,834,688,261,214,198,515,647,1058,440
第59年,1517,2903,2129,1215,521,327,388,398,1040,1667,1730,1456
第60年,3366,2154,2980,1045,856,455,401,617,829,1075,2313,1505
第61年,3025,2238,754,419,363,221,268,171,489,710,759,2918
第62年,1446,1626,965,308,160,162,167,73,362,654,778,900
第63年,2082,1048,2205,1966,366,421,332,463,716,1135,1526,1694
第64年,1404,2437,1555,569,638,451,579,407,600,820,733,1021
第65年,2298,792,495,680,1093,676,664,357,311,450,496,330
第66年,679,2172,1027,1048,585,322,316,307,295,450,954,1639
第67年,1920,1740,1780,1054,2627,553,511,334,654,868,623,588
第68年,1106,832,242,151,171,165,179,135,286,748,1168,1198
第69年,2610,4197,981,238,153,230,320,279,248,279,665,424
第70年,1301,355,217,630,323,333,346,331,375,321,144,1797
第71年,3882,2335,796,2835,824,470,468,351,491,569,628,704
