H,Q,N
5,335,14.43
5,439,18.04
5,564,21.65
5.6,292,14.43
5.6,368,18.04
5.6,462,21.65
5.6,582,25.26
6.2,260,14.43
6.2,325,18.04
6.2,397,21.65
6.2,480,25.26
6.2,599,28.86
6.8,237,14.43
6.8,292,18.04
6.8,354,21.65
6.8,418,25.26
6.8,491,28.86
6.8,610,32.47
7.4,216,14.43
7.4,268,18.04
7.4,320,21.65
7.4,378,25.26
7.4,435,28.86
7.4,504,32.47
7.4,620,36.08
8,200,14.43
8,248,18.04
8,296,21.65
8,344,25.26
8,397,28.86
8,452,32.47
8,518,36.08
8.6,188,14.43
8.6,230,18.04
8.6,273,21.65
8.6,319,25.26
8.6,365,28.86
8.6,416,32.47
8.6,466,36.08
9.2,176,14.43
9.2,215,18.04
9.2,257,21.65
9.2,298,25.26
9.2,340,28.86
9.2,382,32.47
9.2,424,36.08
9.8,164,14.43
9.8,202,18.04
9.8,240,21.65
9.8,279,25.26
9.8,319,28.86
9.8,360,32.47
9.8,400,36.08
10.4,155,14.43
10.4,190,18.04
10.4,225,21.65
10.4,262,25.26
10.4,300,28.86
10.4,338,32.47
10.4,374,36.08
11,147,14.43
11,181,18.04
11,213,21.65
11,246,25.26
11,283,28.86
11,317,32.47
11,352,36.08
11.6,139,14.43
11.6,172,18.04
11.6,206,21.65
11.6,234,25.26
11.6,269,28.86
11.6,300,32.47
11.6,334,36.08
