Z,V
122,2150
121,1950
120,1760
123,2350
124,2550
125,2780
126,3020
127,3280
129,3840
130,4120
131,4410
132,4700
133,5000
134,5330
135,5670
136,6060
137,6450
138,6840
139,7230
140,7650
141,8100
142,8550
143,9000
144,9500
145,10000
146,10500
147,11020
148,11540
149,12100
150,12690
151,13320
152,13980
153,14660
154,15350
155,16050
156,16750
157,17450
158,18220
159,19000
160,19820
161,20640
162,21460
163,22350
164,23250
165,24160
166,25100
167,26050
168,27000
169,28000
170,29050
171,30140
172,31250
173,32360
174,33500
175,34670
176,35840
177,37010
178,38250
179,39500
